waypoint1	waypoint2	distance_m	duration_s
"Parc national des Calanques, Marseille, France"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	526452	20247
"Castle Hill, Nice, France"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	425305	17667
"Place du Palais, Monaco-Ville, Monaco"	"Parc national des Calanques, Marseille, France"	229762	8922
"Piazza San Pietro, Vatican City"	"Palace of Westminster, London, United Kingdom"	1870819	65274
"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	579121	21297
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	273483	10623
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Piazza della Signoria, Florence, Italy"	276576	10799
"Palace of Westminster, London, United Kingdom"	"Place de la Comedie, Montpellier, France"	1222434	41894
Old Port of Marseille	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	629601	24058
"Place de la Bourse, Bordeaux, France"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	1504531	51565
"Oberstdorf, Germany"	"Palace of Westminster, London, United Kingdom"	1126013	40788
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Piazza della Signoria, Florence, Italy"	1082260	38525
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Place de la Comedie, Montpellier, France"	748210	24694
"Vernazza, Province of La Spezia, Italy"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	258881	11663
Old Port of Marseille	"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	450242	16634
Old Port of Marseille	"Crimeo 114, 6563 Mesocco, Switzerland"	649984	23787
"Place du Capitole, Toulouse, France"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	766656	27038
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Pantheon, Piazza della Rotonda, Rome, Italy"	1273483	45185
"Oberstdorf, Germany"	"Crimeo 114, 6563 Mesocco, Switzerland"	220461	10766
"Castle Hill, Nice, France"	"Grand Place, Brussels, Belgium"	1196026	39854
"Parc national des Calanques, Marseille, France"	"Place de la Comedie, Montpellier, France"	177838	7801
"Place du Palais, Monaco-Ville, Monaco"	"Port Hercule, Monte Carlo, Monaco"	3085	567
"Piazza San Pietro, Vatican City"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	580046	21008
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	582202	21197
"Promenade des Anglais, Nice, France"	"Palace of Westminster, London, United Kingdom"	1391291	47351
"Parc national des Calanques, Marseille, France"	"Crimeo 114, 6563 Mesocco, Switzerland"	653064	23922
"Place de la Bourse, Bordeaux, France"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	1227530	42327
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	581755	21139
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	152047	7644
"Place du Palais, Monaco-Ville, Monaco"	"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	1006800	32843
"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1753744	58537
Old Port of Marseille	"Palace of Westminster, London, United Kingdom"	1236459	42346
"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	"Eiffel Tower, Avenue Anatole France, Paris, France"	1432223	48831
"Piazza San Pietro, Vatican City"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1750293	58206
"Vernazza, Province of La Spezia, Italy"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	655865	26302
"Place du Capitole, Toulouse, France"	"Grand Place, Brussels, Belgium"	981123	32962
"Parc national des Calanques, Marseille, France"	"Eiffel Tower, Avenue Anatole France, Paris, France"	784900	25835
"BMW Welt, Munich, Germany"	"Vernazza, Province of La Spezia, Italy"	713623	27063
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Piazza della Signoria, Florence, Italy"	1158737	39624
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	917229	31359
Old Port of Marseille	"Place du Capitole, Toulouse, France"	412602	13953
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	1010548	36278
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	608966	23791
"Place du Capitole, Toulouse, France"	"Place de la Comedie, Montpellier, France"	249742	8641
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Promenade des Anglais, Nice, France"	1386603	45959
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	976335	34703
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Parc national des Calanques, Marseille, France"	402062	15442
"Place du Capitole, Toulouse, France"	"Oberstdorf, Germany"	1140599	40185
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Eiffel Tower, Avenue Anatole France, Paris, France"	1960	406
Old Port of Marseille	"Parc national des Calanques, Marseille, France"	10353	1388
Old Port of Marseille	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	906602	33296
"Port Hercule, Monte Carlo, Monaco"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	413202	17033
"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	751342	28952
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	148223	7290
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	504390	18182
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	1066895	38943
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Grand Place, Brussels, Belgium"	1043911	38553
"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	1055916	38774
"Promenade des Anglais, Nice, France"	"Eiffel Tower, Avenue Anatole France, Paris, France"	932400	30116
"Castle Hill, Nice, France"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	319076	13721
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Pantheon, Piazza della Rotonda, Rome, Italy"	274089	10556
"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	"Place de la Comedie, Montpellier, France"	1028418	37620
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Parc national des Calanques, Marseille, France"	788720	25990
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Place du Capitole, Toulouse, France"	400709	13526
Old Port of Marseille	"Castle Hill, Nice, France"	205112	8127
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Port Hercule, Monte Carlo, Monaco"	182583	8282
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Place du Capitole, Toulouse, France"	994256	33296
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	1079347	39184
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Piazza della Signoria, Florence, Italy"	228068	9207
"Vernazza, Province of La Spezia, Italy"	"Piazza della Signoria, Florence, Italy"	184774	8854
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	857050	30029
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	1331809	47819
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	748528	27029
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Grauwallring 2, 27580, Bremerhaven, Germany"	582796	21163
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Place du Capitole, Toulouse, France"	238583	12555
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Place de la Bourse, Bordeaux, France"	589556	18966
"Palace of Westminster, London, United Kingdom"	"Grand Place, Brussels, Belgium"	365437	17300
"Place du Capitole, Toulouse, France"	"Pantheon, Piazza della Rotonda, Rome, Italy"	1267429	44335
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Port Hercule, Monte Carlo, Monaco"	959298	31291
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Eiffel Tower, Avenue Anatole France, Paris, France"	978408	32605
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	1226921	41026
"Promenade des Anglais, Nice, France"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	1113955	36293
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	607916	21709
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Grand Place, Brussels, Belgium"	1282311	43402
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Place du Capitole, Toulouse, France"	1269408	44304
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Place de la Bourse, Bordeaux, France"	634724	20594
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	800536	29188
"Vernazza, Province of La Spezia, Italy"	"Promenade des Anglais, Nice, France"	293275	14071
"Andorra la Vella, Andorra"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	1129822	42691
"BMW Welt, Munich, Germany"	"Grauwallring 2, 27580, Bremerhaven, Germany"	823453	26224
"Eiffel Tower, Avenue Anatole France, Paris, France"	"Palace of Westminster, London, United Kingdom"	458986	19400
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	1281254	41643
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	1436042	48985
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Crimeo 114, 6563 Mesocco, Switzerland"	1062572	37313
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Grand Place, Brussels, Belgium"	218025	8312
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Palace of Westminster, London, United Kingdom"	1872272	65260
Old Port of Marseille	"Place de la Comedie, Montpellier, France"	170504	7077
"Place du Capitole, Toulouse, France"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	993515	35258
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	979942	32878
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Palace of Westminster, London, United Kingdom"	1485160	51662
"Vernazza, Province of La Spezia, Italy"	"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	921172	35229
"Vernazza, Province of La Spezia, Italy"	"Oberstdorf, Germany"	587392	26508
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	503375	18224
"Place du Palais, Monaco-Ville, Monaco"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	717157	28946
"Vernazza, Province of La Spezia, Italy"	Old Port of Marseille	496909	20520
"Grand Place, Brussels, Belgium"	"Place de la Comedie, Montpellier, France"	1025578	34027
"Vernazza, Province of La Spezia, Italy"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	95213	5783
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Place du Capitole, Toulouse, France"	762896	26507
"Grand Place, Brussels, Belgium"	"Crimeo 114, 6563 Mesocco, Switzerland"	824749	29909
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Piazza della Signoria, Florence, Italy"	1383619	48882
"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	"Place de la Comedie, Montpellier, France"	945097	30836
"Vernazza, Province of La Spezia, Italy"	"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	460081	17870
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Palace of Westminster, London, United Kingdom"	1430827	51045
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	833114	30884
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Promenade des Anglais, Nice, France"	936219	30271
"Palace of Westminster, London, United Kingdom"	"Crimeo 114, 6563 Mesocco, Switzerland"	1178471	43134
"Piazza della Signoria, Florence, Italy"	"Mont Boron, Nice, France"	424319	17191
"BMW Welt, Munich, Germany"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	495632	19737
"Piazza della Signoria, Florence, Italy"	"Grand Place, Brussels, Belgium"	1210061	43654
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	961150	33793
"Vernazza, Province of La Spezia, Italy"	"Place de la Bourse, Bordeaux, France"	1094838	38790
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Andorra la Vella, Andorra"	108608	7218
"Vernazza, Province of La Spezia, Italy"	"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	898463	34401
"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	"Mont Boron, Nice, France"	1118514	36600
"Piazza San Pietro, Vatican City"	"Parc national des Calanques, Marseille, France"	906230	33099
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	309431	12616
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	1308156	47177
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Parc national des Calanques, Marseille, France"	836139	27533
"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	665680	23820
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Grand Place, Brussels, Belgium"	1221345	43947
"Port Hercule, Monte Carlo, Monaco"	"Place de la Comedie, Montpellier, France"	348416	13102
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Piazza San Pietro, Vatican City"	1432591	48653
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1283419	45263
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	885701	33019
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	131868	5207
"Piazza della Signoria, Florence, Italy"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	1055612	38650
"Piazza San Pietro, Vatican City"	"Castle Hill, Nice, France"	698855	26573
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Andorra la Vella, Andorra"	1338812	50559
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Place de la Comedie, Montpellier, France"	1026420	37275
"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	"Palace of Westminster, London, United Kingdom"	1295279	46650
"Place de la Bourse, Bordeaux, France"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	993488	34955
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Castle Hill, Nice, France"	985229	32184
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Oberstdorf, Germany"	518917	19639
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Promenade des Anglais, Nice, France"	656485	22348
Old Port of Marseille	"Andorra la Vella, Andorra"	482896	20361
"Place du Palais, Monaco-Ville, Monaco"	"Place de la Comedie, Montpellier, France"	348499	13111
"Parc national des Calanques, Marseille, France"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	643660	24362
"Place du Palais, Monaco-Ville, Monaco"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	690624	26283
"Oberstdorf, Germany"	"Andorra la Vella, Andorra"	1210893	46593
"Parc national des Calanques, Marseille, France"	"Palace of Westminster, London, United Kingdom"	1243792	43070
"Port Hercule, Monte Carlo, Monaco"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	468181	18413
"Vernazza, Province of La Spezia, Italy"	"Eiffel Tower, Avenue Anatole France, Paris, France"	1011336	36417
"BMW Welt, Munich, Germany"	"Parc national des Calanques, Marseille, France"	1054327	36513
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Castle Hill, Nice, France"	700308	26559
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Place de la Comedie, Montpellier, France"	762396	28551
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Palace of Westminster, London, United Kingdom"	531607	23123
"Place de la Bourse, Bordeaux, France"	"Eiffel Tower, Avenue Anatole France, Paris, France"	588022	18693
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Oberstdorf, Germany"	671035	25685
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Promenade des Anglais, Nice, France"	983639	31814
"Castle Hill, Nice, France"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	436285	17836
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	1394902	49175
"Piazza San Pietro, Vatican City"	"Place de la Bourse, Bordeaux, France"	1501080	51234
"Oberstdorf, Germany"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	355738	16703
"BMW Welt, Munich, Germany"	"Oberstdorf, Germany"	169174	7112
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	842384	29097
"Castle Hill, Nice, France"	"Palace of Westminster, London, United Kingdom"	1392882	47721
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	829354	30353
"Vernazza, Province of La Spezia, Italy"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	401020	17450
"BMW Welt, Munich, Germany"	"Place de la Comedie, Montpellier, France"	1035863	36007
"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	"Grand Place, Brussels, Belgium"	905790	33956
"Piazza della Signoria, Florence, Italy"	"Promenade des Anglais, Nice, France"	425663	17485
"Place de la Bourse, Bordeaux, France"	"Piazza della Signoria, Florence, Italy"	1227226	42204
"Andorra la Vella, Andorra"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	1063809	41666
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	1478191	50234
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Parc national des Calanques, Marseille, France"	908574	33238
"Place du Palais, Monaco-Ville, Monaco"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	186764	8824
"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	"Promenade des Anglais, Nice, France"	319739	13663
"Parc national des Calanques, Marseille, France"	"Pantheon, Piazza della Rotonda, Rome, Italy"	906595	33269
"Place de la Bourse, Bordeaux, France"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	1238509	42497
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Place de la Comedie, Montpellier, France"	814781	26357
"Castle Hill, Nice, France"	"Parc national des Calanques, Marseille, France"	208191	8263
"Piazza della Signoria, Florence, Italy"	"Andorra la Vella, Andorra"	1063505	41543
"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	"Port Hercule, Monte Carlo, Monaco"	306972	13087
"Piazza della Signoria, Florence, Italy"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	275970	10867
"Piazza San Pietro, Vatican City"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	1329466	47680
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	579727	21230
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	828205	28086
"BMW Welt, Munich, Germany"	"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	822890	28135
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	276565	10524
"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	4343	1186
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Eiffel Tower, Avenue Anatole France, Paris, France"	1032741	33222
"Promenade des Anglais, Nice, France"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1455128	51283
"Grauwallring 2, 27580, Bremerhaven, Germany"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	974961	32814
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Port Hercule, Monte Carlo, Monaco"	687117	26110
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	508366	17781
Old Port of Marseille	"Promenade des Anglais, Nice, France"	203521	7757
"BMW Welt, Munich, Germany"	"Palatino. Via di San Gregorio, 00186 Roma, Italy"	930617	33299
"Vernazza, Province of La Spezia, Italy"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	196057	9147
"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1145299	40666
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	1532524	50851
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	228372	9331
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	1031155	37939
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Parc national des Calanques, Marseille, France"	1239104	41678
"Parc national des Calanques, Marseille, France"	"Oberstdorf, Germany"	916966	33815
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Place du Capitole, Toulouse, France"	1268518	44151
"Port Hercule, Monte Carlo, Monaco"	"Grand Place, Brussels, Belgium"	1217515	40504
Old Port of Marseille	"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	781386	25266
"BMW Welt, Munich, Germany"	"Andorra la Vella, Andorra"	1348255	49291
"Parc national des Calanques, Marseille, France"	"Mont Boron, Nice, France"	211159	8199
"Piazza della Signoria, Florence, Italy"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	598733	23646
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Palace of Westminster, London, United Kingdom"	1608249	56537
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Pantheon, Piazza della Rotonda, Rome, Italy"	1305069	47015
"Vernazza, Province of La Spezia, Italy"	"Place du Palais, Monaco-Ville, Monaco"	280931	13508
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Place de la Comedie, Montpellier, France"	1217745	40502
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	487111	18250
"Castle Hill, Nice, France"	"Oberstdorf, Germany"	666657	28105
Old Port of Marseille	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	402743	15837
"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	"Mont Boron, Nice, France"	318394	13369
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Eiffel Tower, Avenue Anatole France, Paris, France"	377826	13173
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	505374	18569
"Castle Hill, Nice, France"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	728840	29568
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Oberstdorf, Germany"	499629	22027
"Place de la Bourse, Bordeaux, France"	"Mont Boron, Nice, France"	806009	26333
"Castle Hill, Nice, France"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	198447	9446
"Port Hercule, Monte Carlo, Monaco"	"Promenade des Anglais, Nice, France"	22967	2328
"Place du Capitole, Toulouse, France"	"Crimeo 114, 6563 Mesocco, Switzerland"	1024932	34633
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	1034275	33495
"Palace of Westminster, London, United Kingdom"	"Grauwallring 2, 27580, Bremerhaven, Germany"	850207	33935
"Port Hercule, Monte Carlo, Monaco"	"Mont Boron, Nice, France"	16539	1600
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	1434044	48640
"Grauwallring 2, 27580, Bremerhaven, Germany"	"Crimeo 114, 6563 Mesocco, Switzerland"	1006806	34374
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Port Hercule, Monte Carlo, Monaco"	689095	26079
"Parc national des Calanques, Marseille, France"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	405822	15972
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Grand Place, Brussels, Belgium"	1485368	52671
"BMW Welt, Munich, Germany"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	129120	6126
