waypoint1	waypoint2	distance_m	duration_s
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	105759	4672
"Eiffel Tower, Avenue Anatole France, Paris, France"	"Place de la Comedie, Montpellier, France"	746676	24421
"Place de la Bourse, Bordeaux, France"	"Crimeo 114, 6563 Mesocco, Switzerland"	1101842	38049
"Oberstdorf, Germany"	"Eiffel Tower, Avenue Anatole France, Paris, France"	837954	28844
"Grand Place, Brussels, Belgium"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	818713	29379
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Andorra la Vella, Andorra"	1129661	40356
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Palatino. Via di San Gregorio, 00186 Roma, Italy"	447	58
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Oberstdorf, Germany"	495803	21674
"Grand Place, Brussels, Belgium"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	1210365	43778
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	504266	18377
"Piazza della Signoria, Florence, Italy"	"Place de la Comedie, Montpellier, France"	751113	28258
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Place de la Bourse, Bordeaux, France"	972326	29688
"Grand Place, Brussels, Belgium"	"Grauwallring 2, 27580, Bremerhaven, Germany"	552633	19591
"Place du Palais, Monaco-Ville, Monaco"	"Pantheon, Piazza della Rotonda, Rome, Italy"	687537	26122
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	318309	12451
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Palace of Westminster, London, United Kingdom"	1873163	65413
"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	"Promenade des Anglais, Nice, France"	702969	26846
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Crimeo 114, 6563 Mesocco, Switzerland"	715961	25288
"Promenade des Anglais, Nice, France"	"Andorra la Vella, Andorra"	637729	25366
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Place de la Bourse, Bordeaux, France"	1502533	51220
"Place de la Bourse, Bordeaux, France"	"Port Hercule, Monte Carlo, Monaco"	824529	27047
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	598109	23658
"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	"Port Hercule, Monte Carlo, Monaco"	306973	13088
"Piazza della Signoria, Florence, Italy"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	308077	12306
Old Port of Marseille	"Mont Boron, Nice, France"	208080	8063
"Vernazza, Province of La Spezia, Italy"	"Palatino. Via di San Gregorio, 00186 Roma, Italy"	460971	18023
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	405203	15150
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	976336	34703
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Grauwallring 2, 27580, Bremerhaven, Germany"	860638	29240
Old Port of Marseille	"Oberstdorf, Germany"	909623	33162
"BMW Welt, Munich, Germany"	"Grand Place, Brussels, Belgium"	778139	26582
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	2696	470
"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	"Palace of Westminster, London, United Kingdom"	1874270	65606
"Piazza San Pietro, Vatican City"	"Place de la Comedie, Montpellier, France"	1024967	37288
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	1766	275
"Parc national des Calanques, Marseille, France"	"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	508985	18067
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Port Hercule, Monte Carlo, Monaco"	1409682	46979
Old Port of Marseille	"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	904604	32950
"Vernazza, Province of La Spezia, Italy"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	977519	37895
"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1145298	40666
"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	"Eiffel Tower, Avenue Anatole France, Paris, France"	853229	29874
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Piazza della Signoria, Florence, Italy"	279052	10767
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	920989	31889
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	1079348	39184
"Castle Hill, Nice, France"	"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	658075	22718
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Oberstdorf, Germany"	1229649	43575
"BMW Welt, Munich, Germany"	"Castle Hill, Nice, France"	804019	30803
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	1359566	47887
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Parc national des Calanques, Marseille, France"	907683	33085
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Piazza della Signoria, Florence, Italy"	1030851	37815
"Piazza San Pietro, Vatican City"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	274408	10334
